country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","24-06-2025 00:00:00",19.383200,72.820400,PM10,37,119,81
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","24-06-2025 00:00:00",19.383200,72.820400,SO2,38,105,42
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","24-06-2025 00:00:00",19.10861,72.83622,SO2,37,38,38
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","24-06-2025 00:00:00",21.121801,79.04952,PM10,21,54,40
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","24-06-2025 00:00:00",18.897756,72.813320,OZONE,17,26,21
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","24-06-2025 00:00:00",19.137500,72.915056,CO,18,20,20
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","24-06-2025 00:00:00",19.000084,72.856730,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","24-06-2025 00:00:00",19.060498,72.923356,NH3,2,2,2
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","24-06-2025 00:00:00",19.000083,72.813993,NO2,9,15,12
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","24-06-2025 00:00:00",19.000083,72.813993,CO,2,53,44
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","24-06-2025 00:00:00",20.555712,74.529236,SO2,14,17,15
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","24-06-2025 00:00:00",19.296481,72.840923,CO,26,39,33
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","24-06-2025 00:00:00",19.296481,72.840923,OZONE,3,39,24
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","24-06-2025 00:00:00",19.053536,72.84643,PM2.5,15,78,39
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","24-06-2025 00:00:00",19.053536,72.84643,OZONE,6,18,10
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","24-06-2025 00:00:00",19.065931,72.862131,CO,6,19,14
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","24-06-2025 00:00:00",19.23241,72.86895,NO2,10,35,22
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","24-06-2025 00:00:00",19.23241,72.86895,OZONE,3,9,5
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","24-06-2025 00:00:00",19.11074,72.86084,NO2,11,26,19
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","24-06-2025 00:00:00",19.0364585,72.8954371,PM10,28,56,42
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","24-06-2025 00:00:00",19.0364585,72.8954371,SO2,NA,NA,NA
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","24-06-2025 00:00:00",21.152875,79.0517531,OZONE,3,17,8
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","24-06-2025 00:00:00",21.143383,79.048912,CO,10,22,15
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","24-06-2025 00:00:00",19.173852,77.296291,CO,3,70,32
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB","24-06-2025 00:00:00",20.0073285,73.7762427,PM2.5,23,44,32
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","24-06-2025 00:00:00",19.1653323,72.922099,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","24-06-2025 00:00:00",19.1653323,72.922099,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","24-06-2025 00:00:00",19.1653323,72.922099,CO,4,8,6
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","24-06-2025 00:00:00",19.0863,72.8888,PM10,53,128,92
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","24-06-2025 00:00:00",19.0863,72.8888,NO2,3,5,4
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","24-06-2025 00:00:00",16.7143745,74.2426398,PM2.5,6,43,22
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","24-06-2025 00:00:00",16.7143745,74.2426398,NH3,4,6,5
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","24-06-2025 00:00:00",16.7143745,74.2426398,SO2,1,2,1
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","24-06-2025 00:00:00",18.1023399,73.4783687,NO2,11,32,16
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","24-06-2025 00:00:00",18.910000,72.820000,NO2,29,30,30
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","24-06-2025 00:00:00",18.910000,72.820000,NH3,3,3,3
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","24-06-2025 00:00:00",19.4458210,72.7988231,NH3,1,3,2
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","24-06-2025 00:00:00",19.4458210,72.7988231,CO,8,53,33
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB","24-06-2025 00:00:00",24.8207389,93.9423085,PM2.5,NA,NA,NA
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","24-06-2025 00:00:00",25.5586,91.8985,NO2,NA,NA,NA
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","24-06-2025 00:00:00",23.7176342,92.7192841,PM10,3,50,20
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","24-06-2025 00:00:00",23.7176342,92.7192841,SO2,6,6,6
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","24-06-2025 00:00:00",25.6635413,94.0989878,CO,2,15,9
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","24-06-2025 00:00:00",18.547056,73.826908,NO2,3,18,11
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","24-06-2025 00:00:00",18.547056,73.826908,CO,8,22,15
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","24-06-2025 00:00:00",18.547056,73.826908,OZONE,1,16,7
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","24-06-2025 00:00:00"," 16.5038",74.3623,PM10,NA,NA,NA
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","24-06-2025 00:00:00"," 16.5038",74.3623,OZONE,39,49,40
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","24-06-2025 00:00:00",17.6336264,75.9132495,PM10,12,51,25
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","24-06-2025 00:00:00",17.6336264,75.9132495,NO2,1,7,3
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","24-06-2025 00:00:00",17.65439,75.90649,PM10,26,64,45
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","24-06-2025 00:00:00",20.832874,85.104082,NH3,8,24,12
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","24-06-2025 00:00:00",21.51161,86.89088,SO2,5,5,5
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","24-06-2025 00:00:00",22.1166054,85.3945546,SO2,11,21,16
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","24-06-2025 00:00:00",22.1166054,85.3945546,CO,23,58,39
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","24-06-2025 00:00:00",21.941841,86.728318,NO2,6,18,11
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","24-06-2025 00:00:00",20.240790,85.836784,PM2.5,7,90,30
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","24-06-2025 00:00:00",20.021503,73.813844,PM10,17,61,35
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","24-06-2025 00:00:00",19.950220,73.731480,NO2,1,4,2
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","24-06-2025 00:00:00",19.950220,73.731480,OZONE,16,32,23
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","24-06-2025 00:00:00",19.9591346,73.7788008,NH3,1,2,2
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","24-06-2025 00:00:00",19.090337,73.014232,NH3,5,5,5
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","24-06-2025 00:00:00",19.1135051,73.008978,PM10,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","24-06-2025 00:00:00",18.63673,73.82487,CO,4,20,13
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","24-06-2025 00:00:00",18.614767,73.799516,OZONE,10,18,13
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","24-06-2025 00:00:00",18.616318,73.765797,PM10,31,102,65
India,Maharashtra,Pune,"Bhosari, Pune - IITM","24-06-2025 00:00:00",18.640051,73.848956,NO2,9,31,20
India,Maharashtra,Pune,"Bhosari, Pune - IITM","24-06-2025 00:00:00",18.640051,73.848956,CO,58,78,73
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","24-06-2025 00:00:00",17.65439,75.90649,OZONE,16,48,31
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","24-06-2025 00:00:00",19.222279,72.957979,NO2,2,9,6
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","24-06-2025 00:00:00",19.235581,73.159121,OZONE,10,47,33
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","24-06-2025 00:00:00",19.4458210,72.7988231,PM2.5,16,35,24
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","24-06-2025 00:00:00",19.008751,73.016620,NO2,22,23,23
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","24-06-2025 00:00:00",19.02579,73.10297,NO2,13,39,21
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","24-06-2025 00:00:00",19.02579,73.10297,OZONE,12,34,19
